Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
;;;;;;;;6;3;2;         917;          68;          74,60;
;;;;;;;;7;4;0;       1.142;          61;          42,10;
;;;;;;;;8;2;2;      13.501;         938;          17,80;
;;;;;;;;9;3;1;      21.242;       1.326;          12,60;
;;;;;;;;10;3;0;      48.410;       2.830;          10,30;
;;;;;;;;11;1;2;      68.707;       4.242;           8,80;
;;;;;;;;12;2;1;     315.496;      18.014;           6,00;
;;;;;;;;13;2;0;     725.468;      39.887;           4,20;
Fr. 26.01.2024;8;19;32;41;42;9;12;1;5;2;JP;JP; 130.000.000,00;
;;;;;;;;2;5;1;           9;           0;     146.288,80;
;;;;;;;;3;5;0;           8;           0;      38.463,80;
;;;;;;;;4;4;2;          51;           4;       1.879,30;
;;;;;;;;5;4;1;       1.288;          75;         137,00;
;;;;;;;;6;3;2;       2.523;         158;          73,90;
;;;;;;;;7;4;0;       3.026;         175;          43,30;
;;;;;;;;8;2;2;      36.883;       2.108;          17,70;
;;;;;;;;9;3;1;      57.510;       3.077;          12,70;
;;;;;;;;10;3;0;     140.388;       7.501;           9,70;
;;;;;;;;11;1;2;     200.543;      11.184;           8,20;
;;;;;;;;12;2;1;     846.899;      44.561;           6,10;
;;;;;;;;13;2;0;   2.087.605;     106.330;           4,00;
Di. 30.01.2024;5;10;19;27;30;5;6;1;5;2;           2;           0;  72.274.808,00;
;;;;;;;;2;5;1;          11;           0;      82.195,80;
;;;;;;;;3;5;0;          22;           0;       9.605,20;
;;;;;;;;4;4;2;          83;           3;         793,00;
;;;;;;;;5;4;1;       1.933;          73;          62,70;
;;;;;;;;6;3;2;       3.057;         131;          41,90;
;;;;;;;;7;4;0;       3.570;         149;          25,20;
;;;;;;;;8;2;2;      36.427;       1.795;          12,30;
;;;;;;;;9;3;1;      68.776;       2.952;           7,30;
;;;;;;;;10;3;0;     129.934;       6.066;           7,10;
;;;;;;;;11;1;2;     167.646;       9.051;           6,70;
;;;;;;;;12;2;1;     806.112;      37.929;           4,40;
;;;;;;;;13;2;0;   1.601.176;      80.208;           3,50;
Fr. 02.02.2024;13;20;23;27;42;5;9;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           4;           0;     171.330,20;
;;;;;;;;3;5;0;           7;           0;      22.881,50;
;;;;;;;;4;4;2;          93;           3;         536,40;
;;;;;;;;5;4;1;       1.155;          40;          79,50;
;;;;;;;;6;3;2;       2.846;          79;          34,10;
;;;;;;;;7;4;0;       2.593;          84;          26,30;
;;;;;;;;8;2;2;      36.285;       1.242;           9,40;
;;;;;;;;9;3;1;      45.275;       1.600;           8,40;
;;;;;;;;10;3;0;      96.147;       3.775;           7,30;
;;;;;;;;11;1;2;     171.481;       6.220;           5,00;
;;;;;;;;12;2;1;     587.629;      22.660;           4,60;
;;;;;;;;13;2;0;   1.199.431;      50.041;           3,60;
Di. 06.02.2024;2;7;21;28;45;5;11;1;5;2;JP;JP;  26.671.242,90;
;;;;;;;;2;5;1;           2;           0;     252.419,40;
;;;;;;;;3;5;0;           6;           0;      19.664,80;
;;;;;;;;4;4;2;          30;           1;       1.225,00;
;;;;;;;;5;4;1;         699;          27;          96,80;
;;;;;;;;6;3;2;       1.327;          72;          53,90;
;;;;;;;;7;4;0;       1.599;          74;          31,40;
;;;;;;;;8;2;2;      18.003;         925;          13,90;
;;;;;;;;9;3;1;      29.688;       1.418;           9,40;
;;;;;;;;10;3;0;      68.863;       3.152;           7,50;
;;;;;;;;11;1;2;      89.461;       4.939;           7,00;
;;;;;;;;12;2;1;     388.042;      18.633;           5,10;
;;;;;;;;13;2;0;     890.199;      42.518;           3,60;
Fr. 09.02.2024;23;24;35;37;45;9;12;1;5;2;JP;JP;  39.863.291,50;
;;;;;;;;2;5;1;           1;           0;     688.624,90;
;;;;;;;;3;5;0;           4;           1;      40.235,70;
;;;;;;;;4;4;2;          19;           1;       2.638,40;
;;;;;;;;5;4;1;         600;          26;         153,90;
;;;;;;;;6;3;2;       1.209;          69;          80,70;
;;;;;;;;7;4;0;       1.310;          61;          52,30;
;;;;;;;;8;2;2;      18.226;         879;          18,80;
;;;;;;;;9;3;1;      27.565;       1.284;          13,80;
;;;;;;;;10;3;0;      67.644;       3.168;          10,50;
;;;;;;;;11;1;2;     101.495;       4.753;           8,50;
;;;;;;;;12;2;1;     421.884;      18.851;           6,40;
;;;;;;;;13;2;0;   1.039.739;      46.105;           4,20;
Di. 13.02.2024;13;17;18;20;46;4;9;1;5;2;JP;JP;  50.200.267,60;
;;;;;;;;2;5;1;           2;           0;     269.795,00;
;;;;;;;;3;5;0;           6;           1;      21.018,50;
;;;;;;;;4;4;2;          34;           1;       1.155,30;
;;;;;;;;5;4;1;         550;          24;         131,50;
;;;;;;;;6;3;2;       1.598;          62;          47,80;
;;;;;;;;7;4;0;       1.261;          61;          42,60;
;;;;;;;;8;2;2;      24.766;         993;          10,80;
;;;;;;;;9;3;1;      26.919;       1.277;          11,10;
;;;;;;;;10;3;0;      58.929;       2.836;           9,40;
;;;;;;;;11;1;2;     131.538;       5.816;           5,10;
;;;;;;;;12;2;1;     406.778;      20.004;           5,20;
;;;;;;;;13;2;0;     898.873;      44.112;           3,80;
Fr. 16.02.2024;8;13;14;24;26;1;2;1;5;2;JP;JP;  64.205.787,70;
;;;;;;;;2;5;1;           2;           0;     365.544,00;
;;;;;;;;3;5;0;          13;           0;      13.143,60;
;;;;;;;;4;4;2;          54;           3;         985,50;
;;;;;;;;5;4;1;       1.118;          46;          87,60;
;;;;;;;;6;3;2;       1.891;          76;          54,80;
;;;;;;;;7;4;0;       2.500;          84;          29,10;
;;;;;;;;8;2;2;      24.074;       1.129;          15,10;
;;;;;;;;9;3;1;      45.869;       1.798;           8,80;
;;;;;;;;10;3;0;     102.828;       4.170;           7,30;
;;;;;;;;11;1;2;     118.061;       6.383;           7,70;
;;;;;;;;12;2;1;     592.332;      25.990;           4,80;
;;;;;;;;13;2;0;   1.341.440;      57.864;           3,40;
Di. 20.02.2024;23;31;37;42;48;3;7;1;5;2;           1;           0;  73.448.160,00;
;;;;;;;;2;5;1;           4;           0;     143.586,80;
;;;;;;;;3;5;0;           3;           0;      44.744,80;
;;;;;;;;4;4;2;          42;           0;         995,40;
;;;;;;;;5;4;1;         520;          29;         148,10;
;;;;;;;;6;3;2;       1.974;          91;          41,20;
;;;;;;;;7;4;0;       1.091;          68;          52,40;
;;;;;;;;8;2;2;      29.695;       1.345;           9,60;
;;;;;;;;9;3;1;      26.063;       1.595;          12,20;
;;;;;;;;10;3;0;      53.216;       3.234;          11,10;
;;;;;;;;11;1;2;     167.972;       7.517;           4,20;
;;;;;;;;12;2;1;     400.597;      22.458;           5,60;
;;;;;;;;13;2;0;     793.739;      47.977;           4,50;
Fr. 23.02.2024;24;27;28;30;49;1;12;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           5;           0;     155.533,60;
;;;;;;;;4;4;2;          24;           0;       1.911,90;
;;;;;;;;5;4;1;         499;          26;         169,30;
;;;;;;;;6;3;2;       1.161;          60;          76,90;
;;;;;;;;7;4;0;       1.231;          41;          51,00;
;;;;;;;;8;2;2;      17.444;         787;          17,90;
;;;;;;;;9;3;1;      24.559;       1.169;          14,20;
;;;;;;;;10;3;0;      66.563;       2.741;           9,70;
;;;;;;;;11;1;2;      95.080;       4.227;           8,30;
;;;;;;;;12;2;1;     371.425;      17.004;           6,60;
;;;;;;;;13;2;0;   1.049.508;      41.844;           3,80;
Di. 27.02.2024;3;4;9;12;20;5;6;1;5;2;JP;JP;  26.481.831,70;
;;;;;;;;2;5;1;           8;           1;      61.868,90;
;;;;;;;;3;5;0;          10;           1;      11.567,80;
;;;;;;;;4;4;2;          37;           2;         973,80;
;;;;;;;;5;4;1;       1.053;          24;          63,00;
;;;;;;;;6;3;2;       1.701;          66;          41,20;
;;;;;;;;7;4;0;       2.348;         114;          20,90;
;;;;;;;;8;2;2;      19.655;         909;          12,50;
;;;;;;;;9;3;1;      37.856;       1.532;           7,20;
;;;;;;;;10;3;0;      77.533;       3.360;           6,60;
;;;;;;;;11;1;2;      92.139;       4.450;           6,70;
;;;;;;;;12;2;1;     449.963;      19.171;           4,30;
;;;;;;;;13;2;0;     905.443;      42.083;           3,40;
Fr. 01.03.2024;4;7;19;20;34;2;4;1;5;2;JP;JP;  39.478.163,40;
;;;;;;;;2;5;1;           4;           0;     169.602,10;
;;;;;;;;3;5;0;           9;           0;      17.617,20;
;;;;;;;;4;4;2;          58;           2;         851,40;
;;;;;;;;5;4;1;       1.001;          37;          90,80;
;;;;;;;;6;3;2;       2.268;          97;          42,40;
;;;;;;;;7;4;0;       1.890;          80;          35,70;
;;;;;;;;8;2;2;      30.073;       1.240;          11,20;
;;;;;;;;9;3;1;      43.849;       1.813;           8,50;
;;;;;;;;10;3;0;      84.586;       3.661;           8,20;
;;;;;;;;11;1;2;     138.480;       5.840;           6,10;
;;;;;;;;12;2;1;     573.714;      24.147;           4,60;
;;;;;;;;13;2;0;   1.169.473;      50.515;           3,60;
Di. 05.03.2024;2;15;17;23;36;3;8;1;5;2;JP;JP;  49.724.672,70;
;;;;;;;;2;5;1;           2;           0;     267.433,80;
;;;;;;;;3;5;0;           7;           0;      17.858,20;
;;;;;;;;4;4;2;          34;           1;       1.145,10;
;;;;;;;;5;4;1;         746;          40;          96,10;
;;;;;;;;6;3;2;       1.869;          93;          40,50;
;;;;;;;;7;4;0;       1.509;          76;          35,30;
;;;;;;;;8;2;2;      26.006;       1.147;          10,20;
;;;;;;;;9;3;1;      31.466;       1.443;           9,40;
;;;;;;;;10;3;0;      63.100;       3.075;           8,70;
;;;;;;;;11;1;2;     129.369;       5.854;           5,10;
;;;;;;;;12;2;1;     437.488;      20.940;           4,80;
;;;;;;;;13;2;0;     879.843;      44.628;           3,80;
Fr. 08.03.2024;8;11;12;16;44;4;7;1;5;2;JP;JP;  63.706.418,50;
;;;;;;;;2;5;1;           1;           0;     729.847,10;
;;;;;;;;3;5;0;           9;           0;      18.953,00;
;;;;;;;;4;4;2;          48;           1;       1.106,80;
;;;;;;;;5;4;1;         981;          45;          99,70;
;;;;;;;;6;3;2;       2.566;          94;          40,30;
;;;;;;;;7;4;0;       1.867;          81;          38,90;
;;;;;;;;8;2;2;      37.704;       1.354;           9,60;
;;;;;;;;9;3;1;      44.407;       1.829;           9,10;
;;;;;;;;10;3;0;      88.672;       3.822;           8,50;
;;;;;;;;11;1;2;     182.988;       7.003;           4,90;
;;;;;;;;12;2;1;     615.114;      25.069;           4,60;
;;;;;;;;13;2;0;   1.244.791;      53.616;           3,70;
Di. 12.03.2024;13;19;30;38;46;4;12;1;5;2;JP;JP;  72.905.621,60;
;;;;;;;;2;5;1;           2;           0;     285.832,30;
;;;;;;;;3;5;0;           4;           1;      33.401,80;
;;;;;;;;4;4;2;          20;           0;       2.080,70;
;;;;;;;;5;4;1;         561;          33;         136,60;
;;;;;;;;6;3;2;       1.026;          71;          78,90;
;;;;;;;;7;4;0;       1.325;          74;          42,90;
;;;;;;;;8;2;2;      15.548;       1.006;          18,30;
;;;;;;;;9;3;1;      25.020;       1.589;          12,60;
;;;;;;;;10;3;0;      62.934;       3.648;           9,30;
;;;;;;;;11;1;2;      81.999;       5.311;           8,70;
;;;;;;;;12;2;1;     363.360;      21.570;           6,20;
;;;;;;;;13;2;0;     934.872;      52.850;           3,80;
Fr. 15.03.2024;1;4;31;34;40;4;5;1;5;2;           1;           0; 130.000.000,00;
;;;;;;;;2;5;1;           3;           0;     420.494,80;
;;;;;;;;3;5;0;          11;           1;      26.802,70;
;;;;;;;;4;4;2;          47;           0;       1.953,80;
;;;;;;;;5;4;1;       1.053;          57;         160,60;
;;;;;;;;6;3;2;       2.762;         128;          64,70;
;;;;;;;;7;4;0;       2.273;         130;          55,20;
;;;;;;;;8;2;2;      40.123;       2.218;          15,60;
;;;;;;;;9;3;1;      53.453;       2.926;          13,10;
;;;;;;;;10;3;0;     111.082;       6.640;          11,70;
;;;;;;;;11;1;2;     220.823;      11.965;           7,10;
;;;;;;;;12;2;1;     855.579;      44.676;           5,80;
;;;;;;;;13;2;0;   1.770.373;      99.413;           4,50;
Di. 19.03.2024;7;16;18;20;32;1;3;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           3;           0;     156.244,20;
;;;;;;;;3;5;0;           6;           0;      18.258,40;
;;;;;;;;4;4;2;          23;           0;       1.483,50;
;;;;;;;;5;4;1;         648;          29;          97,00;
;;;;;;;;6;3;2;       1.238;          67;          53,60;
;;;;;;;;7;4;0;       1.401;          53;          33,30;
;;;;;;;;8;2;2;      17.254;         900;          13,50;
;;;;;;;;9;3;1;      26.685;       1.298;           9,70;
;;;;;;;;10;3;0;      59.872;       2.779;           8,00;
;;;;;;;;11;1;2;      87.492;       4.672;           6,70;
;;;;;;;;12;2;1;     365.158;      17.785;           5,00;
;;;;;;;;13;2;0;     803.809;      38.622;           3,70;
Fr. 22.03.2024;8;11;23;32;44;9;10;1;5;2;JP;JP;  29.416.867,10;
;;;;;;;;2;5;1;          12;           0;      54.013,30;
;;;;;;;;3;5;0;          28;           0;       5.410,20;
;;;;;;;;4;4;2;          37;           1;       1.275,20;
;;;;;;;;5;4;1;       1.226;          45;          70,80;
;;;;;;;;6;3;2;       1.275;          67;          72,00;
;;;;;;;;7;4;0;       2.946;         109;          21,90;
;;;;;;;;8;2;2;      17.390;         785;          18,50;
;;;;;;;;9;3;1;      38.488;       1.578;           9,30;
;;;;;;;;10;3;0;      93.918;       3.899;           7,10;
;;;;;;;;11;1;2;      89.886;       4.494;           9,00;
;;;;;;;;12;2;1;     483.588;      20.761;           5,20;
;;;;;;;;13;2;0;   1.176.361;      49.028;           3,50;
Di. 26.03.2024;2;13;14;26;29;5;6;1;5;2;JP;JP;  38.982.716,80;
;;;;;;;;2;5;1;           5;           0;      99.867,40;
;;;;;;;;3;5;0;           5;           0;      23.340,60;
;;;;;;;;4;4;2;          38;           1;         956,50;
;;;;;;;;5;4;1;         843;          27;          79,40;
;;;;;;;;6;3;2;       1.400;          53;          50,50;
;;;;;;;;7;4;0;       1.676;          66;          29,60;
;;;;;;;;8;2;2;      19.001;         814;          13,00;
;;;;;;;;9;3;1;      33.176;       1.386;           8,30;
;;;;;;;;10;3;0;      65.640;       2.891;           7,80;
;;;;;;;;11;1;2;      93.205;       4.772;           6,70;
;;;;;;;;12;2;1;     427.543;      19.388;           4,60;
;;;;;;;;13;2;0;     850.599;      41.222;           3,70;
Fr. 29.03.2024;16;17;35;36;49;1;10;1;5;2;JP;JP;  52.158.877,00;
;;;;;;;;2;5;1;           1;           0;     687.795,50;
;;;;;;;;3;5;0;           6;           0;      26.791,50;
;;;;;;;;4;4;2;          24;           1;       2.086,20;
;;;;;;;;5;4;1;         588;          39;         156,80;
;;;;;;;;6;3;2;       1.135;          80;          85,90;
;;;;;;;;7;4;0;       1.289;          87;          53,10;
;;;;;;;;8;2;2;      17.335;       1.006;          19,70;
;;;;;;;;9;3;1;      25.345;       1.416;          15,00;
;;;;;;;;10;3;0;      63.117;       3.399;          11,20;
;;;;;;;;11;1;2;      96.601;       5.594;           8,90;
;;;;;;;;12;2;1;     390.707;      21.164;           6,90;
;;;;;;;;13;2;0;   1.018.156;      50.389;           4,20;
Di. 02.04.2024;1;23;31;36;48;5;8;1;5;2;JP;JP;  61.841.232,70;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           2;           0;     311.771,80;
;;;;;;;;4;4;2;          24;           1;       1.533,00;
;;;;;;;;5;4;1;         406;          27;         166,90;
;;;;;;;;6;3;2;       1.272;          79;          56,30;
;;;;;;;;7;4;0;         893;          42;          56,30;
;;;;;;;;8;2;2;      20.899;         931;          12,00;
;;;;;;;;9;3;1;      21.138;       1.165;          13,20;
;;;;;;;;10;3;0;      45.917;       2.602;          11,30;
;;;;;;;;11;1;2;     122.707;       5.205;           5,10;
;;;;;;;;12;2;1;     332.177;      16.980;           6,00;
;;;;;;;;13;2;0;     711.622;      38.067;           4,50;
Fr. 05.04.2024;13;18;26;35;37;8;11;1;5;2;JP;JP;  73.573.473,20;
;;;;;;;;2;5;1;           2;           0;     364.537,40;
;;;;;;;;3;5;0;          13;           0;      13.107,40;
;;;;;;;;4;4;2;          41;           1;       1.294,40;
;;;;;;;;5;4;1;         790;          33;         123,70;
;;;;;;;;6;3;2;       1.521;          68;          67,90;
;;;;;;;;7;4;0;       1.804;          84;          40,20;
;;;;;;;;8;2;2;      22.405;       1.125;          16,20;
;;;;;;;;9;3;1;      34.693;       1.757;          11,60;
;;;;;;;;10;3;0;      81.880;       3.922;           9,20;
;;;;;;;;11;1;2;     116.993;       6.221;           7,80;
;;;;;;;;12;2;1;     500.313;      23.959;           5,70;
;;;;;;;;13;2;0;   1.187.042;      55.212;           3,90;
Di. 09.04.2024;19;23;26;27;46;2;10;1;5;2;JP;JP;  82.919.693,00;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           5;           0;     143.308,70;
;;;;;;;;4;4;2;          27;           0;       1.565,90;
;;;;;;;;5;4;1;         578;          35;         134,70;
;;;;;;;;6;3;2;       1.290;          76;          63,80;
;;;;;;;;7;4;0;       1.382;          69;          41,80;
;;;;;;;;8;2;2;      19.907;       1.010;          14,50;
;;;;;;;;9;3;1;      29.808;       1.540;          10,80;
;;;;;;;;10;3;0;      69.641;       3.551;           8,60;
;;;;;;;;11;1;2;     102.086;       5.658;           7,10;
;;;;;;;;12;2;1;     427.979;      23.177;           5,30;
;;;;;;;;13;2;0;   1.007.228;      52.223;           3,60;
Fr. 12.04.2024;2;3;12;16;45;2;11;1;5;2;JP;JP;  95.455.076,60;
;;;;;;;;2;5;1;           2;           1;     389.492,20;
;;;;;;;;3;5;0;           8;           0;      22.757,60;
;;;;;;;;4;4;2;          37;           6;       1.532,60;
;;;;;;;;5;4;1;         847;          42;         123,30;
;;;;;;;;6;3;2;       1.862;          85;          59,30;
;;;;;;;;7;4;0;       1.841;          89;          42,10;
;;;;;;;;8;2;2;      26.529;       1.238;          14,60;
;;;;;;;;9;3;1;      39.506;       1.869;          10,90;
;;;;;;;;10;3;0;      89.196;       4.095;           9,00;
;;;;;;;;11;1;2;     138.497;       6.687;           7,00;
;;;;;;;;12;2;1;     566.236;      27.231;           5,40;
;;;;;;;;13;2;0;   1.318.782;      60.928;           3,70;
Di. 16.04.2024;22;29;31;39;46;3;7;1;5;2;JP;JP; 106.321.539,70;
;;;;;;;;2;5;1;           2;           1;     337.636,50;
;;;;;;;;3;5;0;           5;           0;      31.564,40;
;;;;;;;;4;4;2;          44;           2;       1.117,20;
;;;;;;;;5;4;1;         601;          43;         150,60;
;;;;;;;;6;3;2;       1.918;         104;          49,90;
;;;;;;;;7;4;0;       1.451;         107;          46,30;
;;;;;;;;8;2;2;      31.921;       1.655;          10,50;
;;;;;;;;9;3;1;      29.654;       1.738;          12,60;
;;;;;;;;10;3;0;      61.758;       4.050;          11,30;
;;;;;;;;11;1;2;     188.726;       8.783;           4,40;
;;;;;;;;12;2;1;     460.357;      26.626;           5,70;
;;;;;;;;13;2;0;     940.834;      56.908;           4,50;
Fr. 19.04.2024;10;20;40;44;46;1;3;1;5;2;JP;JP; 121.428.316,50;
;;;;;;;;2;5;1;           1;           0;     938.778,20;
;;;;;;;;3;5;0;          11;           1;      19.946,10;
;;;;;;;;4;4;2;          39;           3;       1.752,30;
;;;;;;;;5;4;1;         918;          61;         137,10;
;;;;;;;;6;3;2;       1.995;          96;          66,70;
;;;;;;;;7;4;0;       2.069;         109;          45,10;
;;;;;;;;8;2;2;      28.576;       1.479;          16,30;
;;;;;;;;9;3;1;      44.084;       2.247;          11,80;
;;;;;;;;10;3;0;      96.956;       4.622;          10,00;
;;;;;;;;11;1;2;     160.692;       8.318;           7,30;
;;;;;;;;12;2;1;     604.285;      30.461;           6,10;
;;;;;;;;13;2;0;   1.364.068;      66.876;           4,30;
Di. 23.04.2024;6;9;11;32;49;2;10;1;5;2;JP;JP; 133.997.920,90;
;;;;;;;;2;5;1;           4;           0;     195.277,70;
;;;;;;;;3;5;0;           8;           0;      22.819,80;
;;;;;;;;4;4;2;          34;           3;       1.672,40;
;;;;;;;;5;4;1;         800;          56;         130,90;
;;;;;;;;6;3;2;       1.759;          84;          62,90;
;;;;;;;;7;4;0;       1.927;          90;          40,30;
;;;;;;;;8;2;2;      25.779;       1.562;          15,00;
;;;;;;;;9;3;1;      37.357;       2.299;          11,60;
;;;;;;;;10;3;0;      90.637;       4.994;           8,90;
;;;;;;;;11;1;2;     135.438;       8.092;           7,20;
;;;;;;;;12;2;1;     535.723;      31.305;           5,70;
;;;;;;;;13;2;0;   1.305.450;      72.310;           3,80;
Fr. 26.04.2024;2;20;39;40;47;4;8;1;5;2;JP;JP; 152.030.613,90;
;;;;;;;;2;5;1;           2;           0;     560.301,50;
;;;;;;;;3;5;0;          11;           0;      23.809,30;
;;;;;;;;4;4;2;          46;           2;       1.773,40;
;;;;;;;;5;4;1;         987;          47;         152,20;
;;;;;;;;6;3;2;       2.421;         110;          65,60;
;;;;;;;;7;4;0;       2.238;         114;          49,80;
;;;;;;;;8;2;2;      39.302;       2.056;          14,20;
;;;;;;;;9;3;1;      46.215;       2.633;          13,40;
;;;;;;;;10;3;0;     103.414;       5.811;          11,20;
;;;;;;;;11;1;2;     227.046;      11.038;           6,10;
;;;;;;;;12;2;1;     710.644;      37.220;           6,20;
;;;;;;;;13;2;0;   1.579.596;      82.498;           4,50;
Di. 30.04.2024;13;22;24;33;47;1;5;1;5;2;           1;           0; 166.790.050,00;
;;;;;;;;2;5;1;           8;           1;     114.649,10;
;;;;;;;;3;5;0;          13;           1;      16.489,40;
;;;;;;;;4;4;2;          68;           6;         981,80;
;;;;;;;;5;4;1;       1.385;          74;          88,80;
;;;;;;;;6;3;2;       2.517;         160;          51,60;
;;;;;;;;7;4;0;       3.144;         171;          29,00;
;;;;;;;;8;2;2;      33.591;       1.967;          13,60;
;;;;;;;;9;3;1;      51.784;       2.950;           9,80;
;;;;;;;;10;3;0;     117.948;       6.612;           8,00;
;;;;;;;;11;1;2;     165.534;       9.997;           6,90;
;;;;;;;;12;2;1;     688.604;      40.281;           5,20;
;;;;;;;;13;2;0;   1.549.560;      88.709;           3,70;
